"BookNumber","id","type","isPost","journal_zht","journal_en","publisher_zht","datePublished","EndPublishedDate","Year","BookType","journalIssue","title_zht","articleSection_zht","ArticleType","author_zht","contributor_zht","pageStart","pageEnd","BeginPage","EndPage","PageRemarks","ColRemarks","BeginFileNumber","identifier","ExternalLinks","keywords","keywords_withEng","image","Files","Staff","text_zht"
"FMP-120514","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"表錯情",NULL,"9","李雋青---王福齡",NULL,"10","10","10","10",NULL,NULL,"11","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---表錯情---李雋青---王福齡","多情河---多情河歌集---表錯情---李雋青---王福齡","2922_011.jpg","頁10##2922_011.jpg","Kenny","<p id =""ocrHead"">表錯情</p><p>李隽青詞</p><p>王福齡曲</p><p>（女）別灰心呀你別難過　說來說去是哥哥錯</p><p>（男）不灰心呀我不難過　說來說去我自己錯</p><p>（女）心太狠呀你情太薄　有了金花就忘了我</p><p>那一樣不能呌人做　偏偏要呌人騙老婆</p><p>那一家長工不能做　偏偏在此地受折磨</p><p>哥哥他沒有疑心錯　實在你搶了他老婆 </p><p>（女）你自己問問心　我待你沒有錯</p><p>（男）誰跟你有過情　你不要隨口說</p><p>难道你不念舊時情　就忍心丟下我</p><p>釘你的小伙子那麽多</p><p>我求你饒饒我　他老婆　你搶了他老婆</p>"
"FMP-120515","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"多情河本事",NULL,"21",NULL,NULL,"11","11","11","11",NULL,NULL,"12","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---東村---西村---金花---阿淸---福寳---翠寳---二傻子---趙大媽---阿淸---高老頭","多情河---多情河歌集---東村---西村---金花---阿淸---福寳---翠寳---二傻子---趙大媽---阿淸---高老頭","2922_012.jpg","頁11##2922_012.jpg","Kenny","<p id =""ocrHead"">多情河</p><p>本事</p><p>　　多情河把東村與西村隔開，東村有個大姑娘叫金花，她喜愛唱歌。她選擇的對象也以能唱歌爲標準。</p><p>　　一天，金花在河邊唱歌，引起對岸的阿淸，福寳，翠寳，及二傻仔的注意，福寶是趙大媽的兒子，翠寳是趙大媽的女兒，阿淸和二傻子是趙大媽的女兒，阿淸和二傻子是趙大媽的長工，福寳貌奇醜不會唱歌，他却打定主意要娶金花爲妻，同樣翠寳也單戀着阿清，因爲阿淸會唱歌，人也長得很英俊。</p><p>　　趙大媽着媒向金花的爹—— 高老頭說親，，並着阿淸冒福寳向對岸唱歌，悅耳的歌聲傳進了金花的耳朵，她喜極了，她認爲愛情之神降臨了，連忙趕到河邊和冒牌的福寳對唱起來。</p><p>　　陣陣的歌聲融匯了雙方的情感，這頭親事是說成了，也下了聘金，可是高老頭堅要看看這位未來女婿到底是怎様的一個人，這問題把媒婆難倒了，終於西洋鏡也折穿了，福寶眼看親事不成劫無理取鬧地把阿清大駡起來，阿淸受不了寃屈，便决計出城去另謀生計。</p><p>　　阿淸臨走的那晚，他心裏忽然想起了金花的倩影，他便硬着頭皮走去向她辭行其實金花心裏也愛阿淸的，大家臨別依依，淚眼相看，這一切高老頭都看在眼裏，他叫阿淸不要到城裏去，而留在這裏，因為他正需要一個人助手，阿淸與金花聞言皆喜不自勝，有情人遂成美眷。</p>"
"FMP-120516","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,NULL,NULL,"6",NULL,NULL,"12","13","12","13",NULL,NULL,"13","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---劉亮華---陳濠---羅維---吳家驤---蔣光超---馬笑儂---張萊萊---張翠英---金花---阿淸---福寳---翠寳---二傻子---趙大媽---阿淸---高老頭---劉大姑","多情河---多情河歌集---劉亮華---陳濠---羅維---吳家驤---蔣光超---馬笑儂---張萊萊---張翠英---金花---阿淸---福寳---翠寳---二傻子---趙大媽---阿淸---高老頭---劉大姑","2922_013.jpg---2922_014.jpg","頁12##2922_013.jpg---頁13##2922_014.jpg","Kenny","<p id =""ocrHead"">人物介紹</p><p>劉亮華飾金　花</p><p>　　金花是個能唱歌的姑娘她的歌在全村中是唱得最好的一個，她選擇對象也以會唱歌爲準繩。金花天眞未鑿，活潑可愛，與高老頭相依爲命，母親早以去世，平日在家照料家務，充其量是飼豬、養鷄、燒飯之類的事，父親很寵愛她。當愛情之神降臨到她身旁，她的心搖動了，她爲阿淸的歌和他的儀容所陶醉，誰知眞正要娶她的竟是個又醜又矮的福寳呢。她傷心得幾乎要發狂，她在幾經掙扎之後，終於獲得良緣。</p><p>陳　濠飾高老頭</p><p>　　他年屆五十，力氣却不小，能耐勞苦。膝下無兒，僅得一女—金花，他不像别的頭腦頑固的父親那樣，代庖女兒婿事。他很尊重女兒的意見，但是當他聽說女兒要選個能歌的丈夫時，卻不禁詫異起來，在莊稼人看來，能做事是最主要條件，唱歌有什麽用呢！</p><p>高老頭仁慈、忠厚，十足的中國農民典形人物，對家庭事務有條不紊，是兼具母愛的爲父親</p><p>羅　維飾阿　清</p><p>　　阿淸在趙大媽家做長工，長得英俊又會歌唱，誰家女子不鍾情呢？大媽的女兒翠寳對他有愛戀高老頭的女兒金花也傾倒於他　不幸的是他被趙家利用，權充冒牌少爺結果西洋鏡拆穿了，福寳旣然駡他，金花也不諒解，他受了寃屈，因而辭工，反抗這種愚人的行爲和譴責，可是這時阿淸心裡已有金花的倩影。他硬着頭皮向金花道別，金花也忍不住流淚，到最後，阿淸終於和金花成了眷屬，高老頭並收留他在家做事以來收成。</p><p>吳家驤飾福寳</p><p>　　褔寳可以說是個不自量的人，自已長的醜八怪，卻想討個美貌的老婆。他以爲叫阿清替他唱歌，又替他去見高老頭，便能欺瞞金花，等到生米煮成熟飯以後，金花會死心塌地的跟他過一輩子，誰知這個如意算盤打錯了，金花還是投到阿淸的懷抱裡去。</p><p>蔣光超飾二傻子</p><p>　　二傻子並不傻，因爲他還能替福寳做軍帥。是趙大媽的長工之一。他有點覬覦翠寳，但翠寳怎會喜歡他呢？談到做事，正經事，吃力的事他却不能勝任，專會做那些不三不四的拉皮條之類的事，壞主意倒是出了不少。</p><p>馬笑儂飾趙大媽</p><p>　　不明事理的主婦。他有一兒一女，爲了兒子的婚事，不惜傷天害理，用欺騙的手法，想把美媳討囘來，誰知美夢不能實現，趙大媽感到面子不好看，又欲挽囘，結果還是落個人財兩空！弄得他家的阿淸向他辭工，使這老婦人毫無對策！在編劇人的筆下，趙大媽一無是處。</p><p>張萊萊飾翠　寶</p><p>　　糊里糊塗的女孩子，家裡環境好，不知艱難困苦，整天祗知尋樂，談愛情。其實他也不懂什麽愛情，心裡一味喜歡的東西，像阿淸，人旣漂亮，又會唱歌，自然是他心愛之物，他便利用小主人的身份、攫取他，結果他失敗了。</p><p>張翠英飾劉大姑</p><p>　　一輩子做媒人一輩子也發達不了。</p><p>　　劉大姑做媒以來，沒有做過一次媒像福寳那樣，要別人頂替出面看親，可是趙大媽說事情成了重重報謝，將來東窗事發大姑不必担負責任。果然說動了她的心，前去和高老頭談金花婚事。</p><p>　　「奴家好比牆頭一顆草，風吹東來向東倒，風吹西來向西倒。」劉大姑正是這一類沒有主意的人。</p>"
"FMP-120517","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"你想什麽",NULL,"9","李雋青---王福齡",NULL,"14","14","14","14",NULL,NULL,"15","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---你想什麽---李雋青---王福齡","多情河---多情河歌集---你想什麽---李雋青---王福齡","2922_015.jpg","頁14##2922_015.jpg","Kenny","<p>你想什麼</p><p>李隽青詞</p><p>王福齡曲</p><p>我又不是虎　我又不是蛇</p><p>我的阿清哥　老實給你說</p><p>怎麽見了我你就躲呀　到底為什麽</p><p>多少小伙子釘住我呀</p><p>我還嫌囉唆　我的阿清哥</p><p>老實對我說　閉着眼兒你想什麽</p><p>可是想老婆　要是想老婆　機會別錯</p><p>過　回過頭來你看看我呀　我的阿清哥</p>"
"FMP-120518","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"新片預告 國語歌唱片",NULL,"14",NULL,NULL,"15","15","999","999",NULL,NULL,"16","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---美人魚---鍾情---柳上鶯---林翠---金縷衣---葛蘭---馬車夫之戀---丁螢---長巷---陳燕燕---馬路小天使","多情河---多情河歌集---美人魚---鍾情---柳上鶯---林翠---金縷衣---葛蘭---馬車夫之戀---丁螢---長巷---陳燕燕---馬路小天使","2922_016.jpg","封底##2922_016.jpg","Kenny",
"TVW-523311","Article","Y","25","香港電視","TV Week","香港電視出版有限公司","1968-05-01",NULL,"1968","1","25",NULL,NULL,"1",NULL,NULL,"35","35","35","35",NULL,NULL,"35",NULL,NULL,"永安公司","永安公司","25_035.jpg","頁35##25_035.jpg","Isaac",NULL
"TVW-523302","Article","Y","25","香港電視","TV Week","香港電視出版有限公司","1968-05-01",NULL,"1968","1","25","兩個節目應該延長時間","有讚有彈　有彈有讚","5",NULL,NULL,"29","29","29","29",NULL,NULL,"29",NULL,NULL,"歡樂今宵---花王俱樂部---蓓蕾---劉鳳屏---潘迪華---奚秀蘭---沈殿霞---鍾玲玲---森森---鄭君綿---廣東歌樂","歡樂今宵---花王俱樂部---蓓蕾---劉鳳屏---潘迪華---奚秀蘭---沈殿霞---鍾玲玲---森森---鄭君綿---廣東歌樂","25_029.jpg","頁29##25_029.jpg","Isaac",NULL
"TVW-523303","Article","Y","25","香港電視","TV Week","香港電視出版有限公司","1968-05-01",NULL,"1968","1","25","擬請贈送電視藝員照片","有讚有彈　有彈有讚","5",NULL,NULL,"29","30","29","30",NULL,NULL,"29",NULL,NULL,"摔角比賽---體育節目","摔角比賽---體育節目","25_029.jpg;25_030.jpg","頁29##25_029.jpg---頁30##25_030.jpg","Isaac",NULL
"TVW-523304","Article","Y","25","香港電視","TV Week","香港電視出版有限公司","1968-05-01",NULL,"1968","1","25","要求重映「摔角比賽」節目","有讚有彈　有彈有讚","5",NULL,NULL,"30","30","30","30",NULL,NULL,"30",NULL,NULL,"摔角比賽","摔角比賽","25_030.jpg","頁30##25_030.jpg","Isaac",NULL
"TVW-523305","Article","Y","25","香港電視","TV Week","香港電視出版有限公司","1968-05-01",NULL,"1968","1","25","「歡樂今宵」司儀不夠理想","有讚有彈　有彈有讚","5",NULL,NULL,"30","30","30","30",NULL,NULL,"30",NULL,NULL,"歡樂今宵---星報青年節目","歡樂今宵---星報青年節目","25_030.jpg","頁30##25_030.jpg","Isaac",NULL
